#Frame_number	gps_time_at_the_beginning_of_frame	date_converted_from_gps_time	 RA_of_Sun_in_this_day		 Dec_of_Sun_in_this_day 	Mer[ra,dec] Ven Moon Mar Jup Sat Ura Nep
027 1.1780010240e+09 May 05 2017 42.2346666667 16.2438333333	23.37 7.40 3.00 1.93 162.40 7.79 67.73 22.56 194.43 -4.50 266.90 -22.04 23.98 9.39 345.40 -7.18
028 1.1785180080e+09 May 11 2017 48.0620416667 17.8712777778	25.65 7.38 6.94 2.71 233.80 -14.75 72.10 23.16 193.92 -4.31 266.59 -22.03 24.29 9.51 345.52 -7.14
029 1.1790349920e+09 May 17 2017 53.97525 19.3188611111	30.00 8.66 11.38 3.85 308.67 -17.34 76.49 23.63 193.49 -4.15 266.23 -22.02 24.58 9.62 345.62 -7.10
030 1.1795519760e+09 May 23 2017 59.974 20.5702777778	36.11 10.93 16.21 5.25 25.30 5.31 80.88 23.99 193.15 -4.03 265.84 -22.01 24.87 9.73 345.70 -7.07
031 1.1800689600e+09 May 29 2017 66.0515833333 21.6103888889	43.84 13.88 21.36 6.85 116.23 17.83 85.27 24.22 192.90 -3.96 265.41 -22.00 25.14 9.83 345.77 -7.05
032 1.1805859440e+09 Jun 04 2017 72.19325 22.4255833333	53.24 17.19 26.78 8.59 194.77 -2.94 89.64 24.32 192.76 -3.92 264.96 -21.99 25.39 9.93 345.81 -7.03
033 1.1811029280e+09 Jun 10 2017 78.384125 23.0051388889	64.46 20.48 32.45 10.41 266.76 -19.63 94.00 24.30 192.71 -3.93 264.49 -21.98 25.63 10.01 345.84 -7.02
034 1.1816199120e+09 Jun 16 2017 84.608875 23.3420277778	77.51 23.16 38.35 12.24 341.82 -9.64 98.33 24.16 192.75 -3.98 264.02 -21.97 25.85 10.09 345.86 -7.02
035 1.1821368960e+09 Jun 22 2017 91.88975 23.4230555556	91.75 24.59 44.48 14.05 61.41 15.03 102.63 23.91 192.90 -4.07 263.54 -21.96 26.04 10.17 345.85 -7.03
036 1.1826538800e+09 Jun 28 2017 98.1208333333 23.2246944444	105.90 24.38 50.83 15.78 152.85 11.06 106.90 23.54 193.14 -4.20 263.08 -21.95 26.22 10.23 345.82 -7.04
037 1.1831708640e+09 Jul 03 2017 104.317333333 22.7822777778	118.83 22.71 57.39 17.38 226.06 -12.63 111.11 23.05 193.48 -4.37 262.63 -21.94 26.36 10.28 345.78 -7.07
038 1.1836878480e+09 Jul 09 2017 110.4615 22.1025555556	130.07 20.03 64.16 18.80 300.68 -18.74 115.29 22.47 193.90 -4.57 262.21 -21.93 26.49 10.33 345.72 -7.09
039 1.1842048320e+09 Jul 15 2017 116.539875 21.19525	139.62 16.77 71.12 20.00 15.00 1.42 119.40 21.78 194.40 -4.81 261.82 -21.93 26.59 10.36 345.65 -7.13
040 1.1847218160e+09 Jul 21 2017 122.5425 20.0723333333	147.55 13.28 78.27 20.95 100.52 18.77 123.47 20.99 194.99 -5.07 261.48 -21.92 26.66 10.38 345.56 -7.17
041 1.1852388000e+09 Jul 27 2017 128.458416667 18.7486388889	153.91 9.87 85.57 21.60 185.73 0.60 127.48 20.12 195.65 -5.37 261.17 -21.92 26.70 10.40 345.46 -7.21
042 1.1857557840e+09 Aug 02 2017 134.281416667 17.2404444444	158.57 6.81 92.99 21.93 258.10 -18.75 131.43 19.16 196.38 -5.69 260.92 -21.92 26.72 10.40 345.34 -7.27
043 1.1862727680e+09 Aug 08 2017 140.01275 15.5651388889	161.19 4.48 100.49 21.92 334.12 -12.08 135.33 18.13 197.17 -6.04 260.73 -21.93 26.70 10.40 345.22 -7.32
044 1.1867897520e+09 Aug 14 2017 145.659416667 13.74025	161.29 3.35 108.04 21.56 50.26 12.34 139.17 17.02 198.03 -6.41 260.59 -21.94 26.67 10.38 345.08 -7.38
