 #      PC            ROC          NC         R(KM)       M/MSOL       A(E58)     MPROP/MSOL     I(E45)      y(R)       k2 (Love)       Lambda
  0.518800E+35 0.532483E+15 0.303963      12.9393      1.19668     0.154788      1.33808      1.34495     0.392968     0.114499      1605.83    
  0.524807E+35 0.534004E+15 0.304741      12.9474      1.20556     0.156038      1.34904      1.36065     0.389046     0.114184      1548.13    
  0.530884E+35 0.535529E+15 0.305522      12.9556      1.21448     0.157294      1.36007      1.37648     0.385177     0.113862      1492.59    
  0.537032E+35 0.537059E+15 0.306305      12.9638      1.22344     0.158556      1.37115      1.39244     0.381361     0.113531      1439.12    
  0.543250E+35 0.538593E+15 0.307089      12.9719      1.23242     0.159825      1.38228      1.40852     0.377599     0.113192      1387.65    
  0.549541E+35 0.540131E+15 0.307876      12.9801      1.24143     0.161099      1.39348      1.42474     0.373889     0.112845      1338.10    
  0.555904E+35 0.541674E+15 0.308665      12.9883      1.25048     0.162380      1.40473      1.44108     0.370232     0.112490      1290.39    
  0.562341E+35 0.543222E+15 0.309455      12.9965      1.25956     0.163667      1.41603      1.45755     0.366627     0.112128      1244.46    
  0.568853E+35 0.544773E+15 0.310248      13.0046      1.26867     0.164959      1.42740      1.47416     0.363075     0.111758      1200.24    
  0.575440E+35 0.546330E+15 0.311043      13.0128      1.27780     0.166258      1.43881      1.49088     0.359575     0.111380      1157.65    
  0.582103E+35 0.547890E+15 0.311840      13.0210      1.28697     0.167563      1.45029      1.50774     0.356127     0.110995      1116.64    
  0.588844E+35 0.549455E+15 0.312639      13.0291      1.29617     0.168873      1.46182      1.52473     0.352730     0.110603      1077.15    
  0.595662E+35 0.551025E+15 0.313439      13.0373      1.30539     0.170190      1.47341      1.54184     0.349386     0.110204      1039.11    
  0.602560E+35 0.552599E+15 0.314242      13.0454      1.31465     0.171512      1.48505      1.55908     0.346092     0.109798      1002.48    
  0.609537E+35 0.554177E+15 0.315047      13.0536      1.32393     0.172840      1.49674      1.57645     0.342850     0.109385      967.200    
  0.616595E+35 0.555760E+15 0.315854      13.0617      1.33324     0.174174      1.50849      1.59395     0.339659     0.108965      933.215    
  0.623735E+35 0.557348E+15 0.316664      13.0698      1.34258     0.175514      1.52030      1.61158     0.336519     0.108539      900.477    
  0.630957E+35 0.558961E+15 0.317475      13.0779      1.35194     0.176860      1.53216      1.62933     0.333430     0.108107      868.941    
  0.638263E+35 0.560588E+15 0.318288      13.0860      1.36133     0.178210      1.54407      1.64721     0.330392     0.107668      838.564    
  0.645654E+35 0.562219E+15 0.319103      13.0941      1.37075     0.179567      1.55603      1.66520     0.327406     0.107223      809.302    
  0.653131E+35 0.563856E+15 0.319921      13.1021      1.38018     0.180929      1.56805      1.68333     0.324471     0.106772      781.113    
  0.660693E+35 0.565497E+15 0.320740      13.1101      1.38965     0.182296      1.58011      1.70157     0.321586     0.106316      753.954    
  0.668344E+35 0.567142E+15 0.321562      13.1181      1.39913     0.183668      1.59223      1.71994     0.318753     0.105853      727.787    
  0.676083E+35 0.568793E+15 0.322386      13.1261      1.40864     0.185046      1.60440      1.73843     0.315970     0.105385      702.574    
  0.683912E+35 0.570448E+15 0.323212      13.1341      1.41817     0.186429      1.61662      1.75704     0.313237     0.104912      678.279    
  0.691831E+35 0.572108E+15 0.324040      13.1420      1.42772     0.187817      1.62888      1.77577     0.310556     0.104433      654.866    
  0.699842E+35 0.573773E+15 0.324870      13.1499      1.43730     0.189210      1.64120      1.79462     0.307924     0.103949      632.303    
  0.707946E+35 0.575443E+15 0.325702      13.1577      1.44689     0.190608      1.65357      1.81359     0.305343     0.103460      610.557    
  0.716143E+35 0.577118E+15 0.326536      13.1656      1.45651     0.192012      1.66598      1.83268     0.302811     0.102966      589.598    
  0.724436E+35 0.578798E+15 0.327373      13.1734      1.46615     0.193420      1.67845      1.85189     0.300330     0.102467      569.395    
  0.732825E+35 0.580482E+15 0.328211      13.1811      1.47580     0.194833      1.69096      1.87121     0.297898     0.101964      549.920    
  0.741310E+35 0.582171E+15 0.329052      13.1889      1.48548     0.196252      1.70352      1.89066     0.295515     0.101456      531.147    
  0.749894E+35 0.583866E+15 0.329895      13.1965      1.49517     0.197675      1.71613      1.91022     0.293182     0.100943      513.047    
  0.758578E+35 0.585565E+15 0.330740      13.2042      1.50489     0.199103      1.72879      1.92990     0.290899     0.100427      495.597    
  0.767361E+35 0.587269E+15 0.331587      13.2118      1.51462     0.200535      1.74149      1.94969     0.288664     0.999060E-01  478.772    
  0.776247E+35 0.588978E+15 0.332437      13.2194      1.52436     0.201973      1.75424      1.96960     0.286478     0.993812E-01  462.549    
  0.785236E+35 0.590699E+15 0.333289      13.2270      1.53413     0.203415      1.76704      1.98962     0.284341     0.988525E-01  446.904    
  0.794328E+35 0.592438E+15 0.334142      13.2345      1.54391     0.204861      1.77988      2.00975     0.282253     0.983201E-01  431.819    
  0.803526E+35 0.594182E+15 0.334998      13.2419      1.55370     0.206312      1.79277      2.02999     0.280214     0.977842E-01  417.271    
  0.812831E+35 0.107386E+16 0.570060      13.2401      1.55312     0.206226      1.79206      2.02820     0.280991     0.977589E-01  417.649    
  0.822243E+35 0.107501E+16 0.570621      13.2369      1.55240     0.206120      1.79122      2.02561     0.282348     0.976936E-01  417.844    
  0.831764E+35 0.107617E+16 0.571183      13.2330      1.55163     0.206005      1.79034      2.02258     0.284080     0.976000E-01  417.863    
  0.841395E+35 0.107733E+16 0.571745      13.2284      1.55082     0.205885      1.78944      2.01923     0.286115     0.974825E-01  417.719    
  0.851138E+35 0.107849E+16 0.572308      13.2232      1.55000     0.205763      1.78854      2.01561     0.288411     0.973438E-01  417.418    
  0.860994E+35 0.107965E+16 0.572871      13.2175      1.54916     0.205639      1.78765      2.01176     0.290941     0.971856E-01  416.964    
  0.870964E+35 0.108081E+16 0.573435      13.2113      1.54833     0.205515      1.78678      2.00773     0.293684     0.970092E-01  416.359    
  0.881049E+35 0.108198E+16 0.574000      13.2047      1.54750     0.205392      1.78593      2.00354     0.296625     0.968156E-01  415.607    
  0.891251E+35 0.108314E+16 0.574565      13.1977      1.54667     0.205270      1.78512      1.99921     0.299750     0.966057E-01  414.707    
  0.901571E+35 0.108431E+16 0.575131      13.1904      1.54587     0.205151      1.78433      1.99475     0.303049     0.963801E-01  413.662    
  0.912011E+35 0.108548E+16 0.575697      13.1826      1.54508     0.205034      1.78359      1.99019     0.306512     0.961394E-01  412.473    
  0.922571E+35 0.108665E+16 0.576264      13.1746      1.54431     0.204920      1.78289      1.98554     0.310132     0.958841E-01  411.140    
  0.933254E+35 0.108782E+16 0.576831      13.1662      1.54357     0.204810      1.78223      1.98081     0.313902     0.956148E-01  409.665    
  0.944061E+35 0.108899E+16 0.577399      13.1574      1.54285     0.204704      1.78163      1.97601     0.317814     0.953318E-01  408.048    
  0.954993E+35 0.109016E+16 0.577968      13.1484      1.54216     0.204602      1.78107      1.97115     0.321863     0.950356E-01  406.292    
  0.966051E+35 0.109134E+16 0.578537      13.1391      1.54151     0.204505      1.78058      1.96625     0.326044     0.947266E-01  404.396    
  0.977237E+35 0.109251E+16 0.579106      13.1295      1.54089     0.204413      1.78014      1.96130     0.330352     0.944050E-01  402.364    
  0.988553E+35 0.109369E+16 0.579676      13.1197      1.54031     0.204327      1.77976      1.95633     0.334782     0.940713E-01  400.195    
  0.100000E+36 0.109487E+16 0.580247      13.1096      1.53976     0.204246      1.77945      1.95133     0.339329     0.937257E-01  397.891    
  0.101158E+36 0.109605E+16 0.580818      13.0992      1.53926     0.204171      1.77920      1.94632     0.343990     0.933685E-01  395.455    
  0.102329E+36 0.109723E+16 0.581390      13.0886      1.53880     0.204103      1.77902      1.94130     0.348761     0.930001E-01  392.888    
  0.103514E+36 0.109853E+16 0.582017      13.0777      1.53838     0.204041      1.77891      1.93627     0.353637     0.926209E-01  390.192    
  0.104713E+36 0.109998E+16 0.582706      13.0666      1.53801     0.203986      1.77887      1.93126     0.358613     0.922312E-01  387.372    
  0.105925E+36 0.110143E+16 0.583396      13.0553      1.53769     0.203938      1.77891      1.92626     0.363685     0.918314E-01  384.431    
  0.107152E+36 0.110289E+16 0.584086      13.0438      1.53742     0.203898      1.77902      1.92127     0.368851     0.914218E-01  381.371    
  0.108393E+36 0.110434E+16 0.584777      13.0321      1.53719     0.203865      1.77921      1.91631     0.374106     0.910026E-01  378.196    
  0.109648E+36 0.110580E+16 0.585469      13.0202      1.53702     0.203839      1.77947      1.91137     0.379449     0.905742E-01  374.908    
  0.110917E+36 0.110726E+16 0.586162      13.0080      1.53690     0.203821      1.77982      1.90647     0.384877     0.901367E-01  371.511    
  0.112202E+36 0.110872E+16 0.586856      12.9957      1.53683     0.203811      1.78025      1.90160     0.390385     0.896906E-01  368.007    
  0.113501E+36 0.111018E+16 0.587550      12.9833      1.53682     0.203809      1.78076      1.89678     0.395973     0.892359E-01  364.399    
  0.114815E+36 0.111165E+16 0.588245      12.9706      1.53687     0.203816      1.78135      1.89200     0.401636     0.887730E-01  360.693    
  0.116145E+36 0.111311E+16 0.588942      12.9578      1.53697     0.203831      1.78203      1.88727     0.407372     0.883022E-01  356.890    
  0.117490E+36 0.111458E+16 0.589639      12.9448      1.53713     0.203855      1.78280      1.88260     0.413178     0.878237E-01  352.994    
  0.118850E+36 0.111605E+16 0.590336      12.9316      1.53735     0.203888      1.78366      1.87798     0.419053     0.873377E-01  349.010    
  0.120226E+36 0.111752E+16 0.591035      12.9183      1.53763     0.203930      1.78461      1.87344     0.424992     0.868446E-01  344.941    
  0.121619E+36 0.111900E+16 0.591734      12.9048      1.53797     0.203981      1.78565      1.86895     0.430995     0.863446E-01  340.791    
  0.123027E+36 0.112047E+16 0.592434      12.8912      1.53838     0.204041      1.78679      1.86454     0.437057     0.858379E-01  336.564    
  0.124451E+36 0.112195E+16 0.593136      12.8775      1.53885     0.204111      1.78801      1.86021     0.443177     0.853248E-01  332.265    
  0.125893E+36 0.112343E+16 0.593837      12.8636      1.53939     0.204191      1.78934      1.85595     0.449353     0.848055E-01  327.897    
  0.127350E+36 0.112507E+16 0.594604      12.8496      1.53999     0.204281      1.79076      1.85178     0.455580     0.842804E-01  323.465    
  0.128825E+36 0.112682E+16 0.595421      12.8355      1.54066     0.204380      1.79228      1.84769     0.461855     0.837500E-01  318.976    
  0.130317E+36 0.112858E+16 0.596239      12.8213      1.54139     0.204490      1.79390      1.84369     0.468175     0.832145E-01  314.435    
  0.131826E+36 0.113034E+16 0.597058      12.8070      1.54219     0.204609      1.79561      1.83979     0.474539     0.826741E-01  309.847    
  0.133352E+36 0.113211E+16 0.597878      12.7926      1.54306     0.204739      1.79742      1.83598     0.480944     0.821291E-01  305.216    
  0.134896E+36 0.113387E+16 0.598700      12.7780      1.54399     0.204879      1.79933      1.83226     0.487388     0.815797E-01  300.545    
  0.136458E+36 0.113564E+16 0.599522      12.7634      1.54500     0.205029      1.80134      1.82865     0.493870     0.810261E-01  295.841    
  0.138038E+36 0.113741E+16 0.600346      12.7487      1.54607     0.205189      1.80346      1.82513     0.500388     0.804687E-01  291.106    
  0.139637E+36 0.113919E+16 0.601170      12.7340      1.54721     0.205360      1.80567      1.82172     0.506939     0.799075E-01  286.346    
  0.141254E+36 0.114097E+16 0.601996      12.7191      1.54842     0.205541      1.80799      1.81842     0.513523     0.793428E-01  281.564    
  0.142889E+36 0.114275E+16 0.602823      12.7042      1.54971     0.205733      1.81041      1.81522     0.520136     0.787748E-01  276.765    
  0.144544E+36 0.114453E+16 0.603651      12.6892      1.55106     0.205936      1.81293      1.81214     0.526778     0.782038E-01  271.953    
  0.146218E+36 0.114631E+16 0.604481      12.6742      1.55248     0.206149      1.81556      1.80917     0.533447     0.776300E-01  267.133    
  0.147911E+36 0.114810E+16 0.605311      12.6590      1.55398     0.206374      1.81829      1.80631     0.540140     0.770536E-01  262.308    
  0.149624E+36 0.114989E+16 0.606143      12.6439      1.55554     0.206609      1.82113      1.80357     0.546857     0.764748E-01  257.482    
  0.151356E+36 0.115173E+16 0.606990      12.6287      1.55718     0.206855      1.82407      1.80095     0.553595     0.758937E-01  252.660    
  0.153109E+36 0.115380E+16 0.607935      12.6134      1.55889     0.207112      1.82712      1.79845     0.560350     0.753109E-01  247.846    
  0.154882E+36 0.115588E+16 0.608881      12.5982      1.56067     0.207380      1.83027      1.79607     0.567120     0.747267E-01  243.047    
  0.156675E+36 0.115796E+16 0.609829      12.5829      1.56252     0.207658      1.83352      1.79382     0.573903     0.741412E-01  238.266    
  0.158489E+36 0.116004E+16 0.610778      12.5675      1.56444     0.207947      1.83688      1.79168     0.580699     0.735546E-01  233.507    
  0.160325E+36 0.116213E+16 0.611728      12.5522      1.56643     0.208247      1.84034      1.78968     0.587507     0.729672E-01  228.772    
  0.162181E+36 0.116422E+16 0.612680      12.5368      1.56849     0.208558      1.84391      1.78779     0.594325     0.723789E-01  224.064    
  0.164059E+36 0.116631E+16 0.613633      12.5214      1.57062     0.208880      1.84758      1.78604     0.601151     0.717902E-01  219.388    
  0.165959E+36 0.116841E+16 0.614588      12.5060      1.57282     0.209212      1.85135      1.78441     0.607986     0.712010E-01  214.745    
  0.167880E+36 0.117052E+16 0.615545      12.4906      1.57509     0.209555      1.85523      1.78291     0.614827     0.706115E-01  210.139    
  0.169824E+36 0.117262E+16 0.616502      12.4752      1.57743     0.209909      1.85921      1.78154     0.621674     0.700220E-01  205.572    
