#      PC            ROC          NC         R(KM)       M/MSOL       A(E58)     MPROP/MSOL     I(E45)      y(R)       k2 (Love)       Lambda
  0.794328E+34 0.357510E+15 0.208947      13.5458     0.280476     0.339255E-01 0.289645     0.153455      1.59306     0.429974E-01 0.107208E+07
  0.841395E+34 0.364579E+15 0.212981      13.3868     0.291730     0.353183E-01 0.301614     0.161627      1.55873     0.463494E-01  894853.    
  0.891251E+34 0.371787E+15 0.217093      13.2414     0.303431     0.367690E-01 0.314085     0.170273      1.52375     0.497479E-01  747098.    
  0.944061E+34 0.379137E+15 0.221275      13.1085     0.315588     0.382790E-01 0.327071     0.179414      1.48828     0.531763E-01  623899.    
  0.100000E+35 0.386634E+15 0.225517      12.9871     0.328212     0.398500E-01 0.340588     0.189069      1.45244     0.566178E-01  521160.    
  0.105925E+35 0.394279E+15 0.229840      12.8762     0.341314     0.414835E-01 0.354650     0.199261      1.41638     0.600557E-01  435469.    
  0.112202E+35 0.402075E+15 0.234245      12.7750     0.354903     0.431812E-01 0.369272     0.210010      1.38021     0.634733E-01  363981.    
  0.118850E+35 0.410025E+15 0.238736      12.6827     0.368990     0.449447E-01 0.384469     0.221340      1.34407     0.668541E-01  304330.    
  0.125893E+35 0.418132E+15 0.243312      12.5985     0.383583     0.467756E-01 0.400255     0.233273      1.30807     0.701824E-01  254545.    
  0.133352E+35 0.426399E+15 0.247976      12.5219     0.398694     0.486755E-01 0.416646     0.245831      1.27231     0.734426E-01  212982.    
  0.141254E+35 0.434867E+15 0.252727      12.4523     0.414328     0.506459E-01 0.433655     0.259037      1.23689     0.766195E-01  178277.    
  0.149624E+35 0.443530E+15 0.257567      12.3890     0.430489     0.526875E-01 0.451289     0.272908      1.20193     0.796979E-01  149298.    
  0.158489E+35 0.452365E+15 0.262501      12.3316     0.447183     0.548018E-01 0.469563     0.287465      1.16750     0.826641E-01  125092.    
  0.167880E+35 0.461377E+15 0.267529      12.2797     0.464419     0.569901E-01 0.488489     0.302730      1.13368     0.855061E-01  104862.    
  0.177828E+35 0.470568E+15 0.272653      12.2327     0.482203     0.592539E-01 0.508084     0.318726      1.10054     0.882125E-01  87948.1    
  0.188365E+35 0.479942E+15 0.277875      12.1903     0.500541     0.615946E-01 0.528359     0.335475      1.06812     0.907730E-01  73800.8    
  0.199526E+35 0.489568E+15 0.283204      12.1521     0.519437     0.640134E-01 0.549325     0.352997      1.03650     0.931778E-01  61963.4    
  0.211349E+35 0.499431E+15 0.288639      12.1177     0.538884     0.665098E-01 0.570982     0.371300      1.00573     0.954171E-01  52058.7    
  0.223872E+35 0.509492E+15 0.294180      12.0869     0.558884     0.690848E-01 0.593340     0.390401     0.975845     0.974837E-01  43766.0    
  0.237137E+35 0.519756E+15 0.299826      12.0593     0.579440     0.717395E-01 0.616412     0.410318     0.946885     0.993716E-01  36818.4    
  0.251189E+35 0.530227E+15 0.305581      12.0346     0.600555     0.744750E-01 0.640206     0.431070     0.918870     0.101076      30994.3    
  0.266073E+35 0.540944E+15 0.311451      12.0126     0.622228     0.772919E-01 0.664734     0.452672     0.891821     0.102593      26108.9    
  0.281838E+35 0.551986E+15 0.317448      11.9929     0.644445     0.801892E-01 0.689986     0.475123     0.865773     0.103919      22010.6    
  0.298538E+35 0.563254E+15 0.323561      11.9755     0.667198     0.831667E-01 0.715965     0.498429     0.840746     0.105052      18570.6    
  0.316228E+35 0.574752E+15 0.329792      11.9599     0.690485     0.862248E-01 0.742678     0.522598     0.816747     0.105991      15680.8    
  0.334965E+35 0.586485E+15 0.336143      11.9460     0.714301     0.893637E-01 0.770129     0.547639     0.793778     0.106736      13251.2    
  0.354813E+35 0.598528E+15 0.342627      11.9336     0.738640     0.925836E-01 0.798321     0.573557     0.771842     0.107289      11207.1    
  0.375837E+35 0.610928E+15 0.349252      11.9226     0.763475     0.958817E-01 0.827236     0.600333     0.750957     0.107652      9487.16    
  0.398107E+35 0.623584E+15 0.356006      11.9126     0.788793     0.992572E-01 0.856869     0.627961     0.731127     0.107827      8038.69    
  0.421696E+35 0.636503E+15 0.362890      11.9036     0.814584     0.102710     0.887221     0.656437     0.712344     0.107818      6817.69    
  0.446684E+35 0.649689E+15 0.369907      11.8953     0.840838     0.106239     0.918291     0.685758     0.694600     0.107630      5787.49    
  0.473151E+35 0.663354E+15 0.377090      11.8877     0.867528     0.109842     0.950060     0.715897     0.677898     0.107268      4917.86    
  0.501187E+35 0.677309E+15 0.384412      11.8805     0.894624     0.113515     0.982505     0.746824     0.662242     0.106738      4183.35    
  0.530884E+35 0.691558E+15 0.391877      11.8736     0.922110     0.117258      1.01562     0.778521     0.647622     0.106046      3562.28    
  0.562341E+35 0.706107E+15 0.399486      11.8669     0.949970     0.121070      1.04940     0.810970     0.634025     0.105200      3036.56    
  0.595662E+35 0.721182E+15 0.407273      11.8602     0.978171     0.124946      1.08382     0.844133     0.621448     0.104207      2591.27    
  0.630957E+35 0.736596E+15 0.415214      11.8534      1.00668     0.128882      1.11884     0.877956     0.609894     0.103075      2213.88    
  0.668344E+35 0.752340E+15 0.423309      11.8464      1.03546     0.132877      1.15446     0.912409     0.599351     0.101812      1893.63    
  0.707946E+35 0.768469E+15 0.431569      11.8391      1.06451     0.136927      1.19065     0.947459     0.589806     0.100426      1621.56    
  0.749894E+35 0.785161E+15 0.440017      11.8314      1.09376     0.141028      1.22737     0.983038     0.581260     0.989269E-01  1390.29    
  0.794328E+35 0.802215E+15 0.448630      11.8231      1.12320     0.145175      1.26460      1.01909     0.573708     0.973232E-01  1193.52    
  0.841395E+35 0.819641E+15 0.457412      11.8142      1.15278     0.149365      1.30231      1.05556     0.567141     0.956235E-01  1025.87    
  0.891251E+35 0.837649E+15 0.466388      11.8046      1.18247     0.153594      1.34047      1.09240     0.561549     0.938370E-01  882.884    
  0.944061E+35 0.856140E+15 0.475550      11.7942      1.21223     0.157855      1.37902      1.12952     0.556936     0.919730E-01  760.860    
  0.100000E+36 0.875039E+15 0.484891      11.7829      1.24202     0.162144      1.41795      1.16687     0.553293     0.900400E-01  656.577    
  0.105925E+36 0.894509E+15 0.494435      11.7706      1.27181     0.166457      1.45721      1.20437     0.550613     0.880466E-01  567.343    
  0.112202E+36 0.914597E+15 0.504189      11.7574      1.30153     0.170786      1.49675      1.24193     0.548896     0.860023E-01  490.938    
  0.118850E+36 0.935136E+15 0.514135      11.7431      1.33116     0.175126      1.53654      1.27947     0.548141     0.839149E-01  425.429    
  0.125893E+36 0.956279E+15 0.524289      11.7276      1.36066     0.179473      1.57652      1.31693     0.548340     0.817923E-01  369.182    
  0.133352E+36 0.978101E+15 0.534661      11.7109      1.38998     0.183818      1.61665      1.35420     0.549494     0.796430E-01  320.852    
  0.141254E+36 0.100042E+16 0.545238      11.6930      1.41907     0.188156      1.65689      1.39120     0.551602     0.774743E-01  279.264    
  0.149624E+36 0.102347E+16 0.556044      11.6739      1.44790     0.192483      1.69718      1.42787     0.554661     0.752932E-01  243.427    
  0.158489E+36 0.104722E+16 0.567080      11.6534      1.47642     0.196789      1.73747      1.46408     0.558671     0.731071E-01  212.522    
  0.167880E+36 0.107152E+16 0.578335      11.6315      1.50459     0.201070      1.77771      1.49976     0.563632     0.709221E-01  185.828    
